locationCode,isActive,creationDate
B1/8C,true,04/15/2023
B1/9C,true,04/15/2023
B1/10C,true,04/15/2023
B1/11C,true,04/15/2023
B1/12C,true,04/15/2023
B1/13C,true,04/15/2023
B1/14C,true,04/15/2023
B1/15C,true,04/15/2023
B1/16C,true,04/15/2023
B1/17C,true,04/15/2023
B1/18C,true,04/15/2023
B1/19C,true,04/15/2023
B1/20C,true,04/15/2023
B1/21C,true,04/15/2023
B1/22C,true,04/15/2023
B1/23C,true,04/15/2023
B1/24C,true,04/15/2023
B1/25C,true,04/15/2023
B1/26C,true,04/15/2023
B1/27C,true,04/15/2023
B1/28C,true,04/15/2023
B2/1A,true,04/15/2023
B2/2A,true,04/15/2023
B2/3A,true,04/15/2023
B2/4A,true,04/15/2023
B2/5A,true,04/15/2023
B2/6A,true,04/15/2023
B2/7A,true,04/15/2023
B2/8A,true,04/15/2023
B2/9A,true,04/15/2023
B2/10A,true,04/15/2023
B2/11A,true,04/15/2023
B2/12A,true,04/15/2023
B2/13A,true,04/15/2023
B2/14A,true,04/15/2023
B2/15A,true,04/15/2023
B2/16A,true,04/15/2023
B2/17A,true,04/15/2023
B2/18A,true,04/15/2023
B2/19A,true,04/15/2023
B2/20A,true,04/15/2023
B2/21A,true,04/15/2023
B2/22A,true,04/15/2023
B2/23A,true,04/15/2023
B2/24A,true,04/15/2023
B2/25A,true,04/15/2023
B2/26A,true,04/15/2023
B2/27A,true,04/15/2023
B2/28A,true,04/15/2023
B2/1B,true,04/15/2023
B2/2B,true,04/15/2023
B2/3B,true,04/15/2023
